customer_id,first_name,last_name,full_name,addressing_title,email_address,phone,account_number,customer_type,city,address_line_1,address_no,address_st,address_line_2,State,Country,number_of_sales,total_amount_with_tax,last_order_date,status
29277,Samantha,Mohamed,Samantha Mohamed,Dear Mohamed,samantha9@adventure-works.com,832-555-0138,AW00029277,I,Oak Bay,5331 Buskrik Avenue,5331,Buskrik Avenue,,British Columbia,Canada,1,2673.0613,2003-09-03 00:00:00.000000 UTC,Active
21741,Alexa,Sanders,Alexa Sanders,Dear Sanders,alexa3@adventure-works.com,263-555-0147,AW00021741,I,N. Vancouver,1133 Fillet Ave,1133,Fillet Ave,,British Columbia,Canada,2,4560.6113000000005,2003-09-03 00:00:00.000000 UTC,Active
22120,Jennifer,Perry,Jennifer Perry,Dear Perry,jennifer82@adventure-works.com,263-555-0116,AW00022120,I,Victoria,6274 San Antonio,6274,San Antonio,,British Columbia,Canada,2,6588.3858,2003-09-05 00:00:00.000000 UTC,Active
11888,Aaron,Ross,Aaron Ross,Dear Ross,aaron3@adventure-works.com,175-555-0139,AW00011888,I,Cliffside,2111 Ringing Dr,2111,Ringing Dr,,British Columbia,Canada,1,2626.5408,2003-09-19 00:00:00.000000 UTC,Active
29256,Noah,Harris,Noah Harris,Dear Harris,noah55@adventure-works.com,566-555-0114,AW00029256,I,Vancouver,3614 Golf Club Road,3614,Golf Club Road,,British Columbia,Canada,1,2644.3313,2003-09-20 00:00:00.000000 UTC,Active
16363,Melanie,Ramirez,Melanie Ramirez,Dear Ramirez,melanie32@adventure-works.com,328-555-0112,AW00016363,I,Langley,3131 San Miguel Circle,3131,San Miguel Circle,,British Columbia,Canada,1,2742.4111,2003-09-20 00:00:00.000000 UTC,Active
23267,Juan,James,Juan James,Dear James,juan9@adventure-works.com,734-555-0118,AW00023267,I,Cliffside,9221 Dutch Slough Rd.,9221,Dutch Slough Rd.,,British Columbia,Canada,2,5372.6095000000005,2003-09-20 00:00:00.000000 UTC,Active
12017,David,Simmons,David Simmons,Dear Simmons,david48@adventure-works.com,712-555-0167,AW00012017,I,Port Hammond,8442 Euclid Avenue,8442,Euclid Avenue,,British Columbia,Canada,1,2585.6669,2003-09-21 00:00:00.000000 UTC,Active
24960,Brianna,Gray,Brianna Gray,Dear Gray,brianna42@adventure-works.com,795-555-0174,AW00024960,I,Cliffside,1107 La Corte Bonita,1107,La Corte Bonita,,British Columbia,Canada,2,3324.7462,2003-09-21 00:00:00.000000 UTC,Active
25048,Yolanda,Sharma,Yolanda Sharma,Dear Sharma,yolanda8@adventure-works.com,275-555-0186,AW00025048,I,Cliffside,1819 Lilac Court,1819,Lilac Court,,British Columbia,Canada,2,3366.7583,2003-09-22 00:00:00.000000 UTC,Active
23281,Megan,Harris,Megan Harris,Dear Harris,megan16@adventure-works.com,751-555-0114,AW00023281,I,Sooke,5039 Keywood Ct.,5039,Keywood Ct.,,British Columbia,Canada,2,5335.0616,2003-09-24 00:00:00.000000 UTC,Active
23137,Chloe,Sanders,Chloe Sanders,Dear Sanders,chloe65@adventure-works.com,466-555-0127,AW00023137,I,Royal Oak,2320 Wee Donegal,2320,Wee Donegal,,British Columbia,Canada,2,5872.2463000000007,2003-09-25 00:00:00.000000 UTC,Active
21655,Zachary,Bryant,Zachary Bryant,Dear Bryant,zachary16@adventure-works.com,743-555-0146,AW00021655,I,Newton,2941 Jill Ave,2941,Jill Ave,,British Columbia,Canada,2,2926.1155,2003-09-25 00:00:00.000000 UTC,Active
16140,Seth,Harris,Seth Harris,Dear Harris,seth14@adventure-works.com,778-555-0114,AW00016140,I,Oak Bay,1487 Santa Fe,1487,Santa Fe,,British Columbia,Canada,1,2793.8047,2003-09-26 00:00:00.000000 UTC,Active
12080,Grace,Sanchez,Grace Sanchez,Dear Sanchez,grace26@adventure-works.com,207-555-0158,AW00012080,I,Cliffside,8844 Fitzpatrick Drive,8844,Fitzpatrick Drive,,British Columbia,Canada,1,2602.264,2003-10-02 00:00:00.000000 UTC,Active
23376,Zachary,Flores,Zachary Flores,Dear Flores,zachary11@adventure-works.com,377-555-0185,AW00023376,I,Royal Oak,5678 Stonyhill Circle,5678,Stonyhill Circle,,British Columbia,Canada,2,5872.2463000000007,2003-10-05 00:00:00.000000 UTC,Active
21354,Morgan,Bailey,Morgan Bailey,Dear Bailey,morgan54@adventure-works.com,669-555-0153,AW00021354,I,Langley,4250 Huston Rd,4250,Huston Rd,,British Columbia,Canada,2,2924.2716,2003-10-07 00:00:00.000000 UTC,Active
11328,Julian,Griffin,Julian Griffin,Dear Griffin,julian20@adventure-works.com,636-555-0197,AW00011328,I,Newton,7398 Withersed Lane,7398,Withersed Lane,,British Columbia,Canada,2,5213.4343,2003-10-09 00:00:00.000000 UTC,Active
21352,Morgan,Long,Morgan Long,Dear Long,morgan79@adventure-works.com,912-555-0160,AW00021352,I,Vancouver,5577 Laredo,5577,Laredo,,British Columbia,Canada,2,2901.0556,2003-10-11 00:00:00.000000 UTC,Active
21939,Thomas,Roberts,Thomas Roberts,Dear Roberts,thomas41@adventure-works.com,874-555-0175,AW00021939,I,Langford,448 Roanoke Dr.,448,Roanoke Dr.,,British Columbia,Canada,2,4600.3803,2003-10-11 00:00:00.000000 UTC,Active
11132,Melissa,Richardson,Melissa Richardson,Dear Richardson,melissa31@adventure-works.com,928-555-0118,AW00011132,I,Langford,6832 Fruitwood Dr,6832,Fruitwood Dr,,British Columbia,Canada,1,2620.9937,2003-10-11 00:00:00.000000 UTC,Active
23306,Byron,Ortega,Byron Ortega,Dear Ortega,byron16@adventure-works.com,853-555-0167,AW00023306,I,Burnaby,9123 James Donlon Blvd,9123,James Donlon Blvd,,British Columbia,Canada,2,5335.0616,2003-10-12 00:00:00.000000 UTC,Active
25104,Natalie,Parker,Natalie Parker,Dear Parker,natalie51@adventure-works.com,581-555-0184,AW00025104,I,Westminster,1500 Polk Street,1500,Polk Street,,British Columbia,Canada,2,3335.2547,2003-10-14 00:00:00.000000 UTC,Active
24392,Molly,Prasad,Molly Prasad,Dear Prasad,molly9@adventure-works.com,169-555-0169,AW00024392,I,Cliffside,1588 Prestwick Drive,1588,Prestwick Drive,,British Columbia,Canada,2,4784.2191,2003-10-14 00:00:00.000000 UTC,Active
21768,Cole,Watson,Cole Watson,Dear Watson,cole1@adventure-works.com,110-555-0129,AW00021768,I,Metchosin,601 Asilomar Dr.,601,Asilomar Dr.,,British Columbia,Canada,2,4550.6774000000005,2003-10-16 00:00:00.000000 UTC,Active
21336,Angel,Perez,Angel Perez,Dear Perez,angel25@adventure-works.com,181-555-0187,AW00021336,I,Langford,322 Market Pl.,322,Market Pl.,,British Columbia,Canada,2,2904.3264,2003-10-17 00:00:00.000000 UTC,Active
11739,Aaron,King,Aaron King,Dear King,aaron51@adventure-works.com,600-555-0195,AW00011739,I,Shawnee,2243 W St.,2243,W St.,,British Columbia,Canada,2,5257.6232,2003-10-18 00:00:00.000000 UTC,Active
23283,Haley,Torres,Haley Torres,Dear Torres,haley14@adventure-works.com,175-555-0194,AW00023283,I,Royal Oak,9275 Keller Ridge Dr.,9275,Keller Ridge Dr.,,British Columbia,Canada,2,5335.0616,2003-10-19 00:00:00.000000 UTC,Active
24418,Brandon,Garcia,Brandon Garcia,Dear Garcia,brandon39@adventure-works.com,291-555-0169,AW00024418,I,Sooke,2731 Wiget Lane,2731,Wiget Lane,,British Columbia,Canada,2,4784.2191,2003-10-29 00:00:00.000000 UTC,Active
22903,Hailey,Stewart,Hailey Stewart,Dear Stewart,hailey0@adventure-works.com,640-555-0133,AW00022903,I,Port Hammond,9710 Valley Blvd.,9710,Valley Blvd.,,British Columbia,Canada,2,6689.9132,2003-10-31 00:00:00.000000 UTC,Active
21582,Amber,Roberts,Amber Roberts,Dear Roberts,amber3@adventure-works.com,597-555-0197,AW00021582,I,Cliffside,9665 Geneva Ave.,9665,Geneva Ave.,,British Columbia,Canada,2,2915.0544,2003-11-03 00:00:00.000000 UTC,Active
12447,Carson,Hayes,Carson Hayes,Dear Hayes,carson22@adventure-works.com,137-555-0160,AW00012447,I,Port Hammond,6799 El Camino Dr.,6799,El Camino Dr.,,British Columbia,Canada,1,2576.8048,2003-11-04 00:00:00.000000 UTC,Active
11984,Alex,Campbell,Alex Campbell,Dear Campbell,alex35@adventure-works.com,376-555-0156,AW00011984,I,Oak Bay,4164 Kenneth Ct.,4164,Kenneth Ct.,,British Columbia,Canada,2,5227.0036,2003-11-07 00:00:00.000000 UTC,Active
11979,Christopher,Johnson,Christopher Johnson,Dear Johnson,christopher25@adventure-works.com,130-555-0198,AW00011979,I,Victoria,9234 Carmel Drive,9234,Carmel Drive,,British Columbia,Canada,2,5319.2049000000006,2003-11-09 00:00:00.000000 UTC,Active
12081,Kaitlyn,Perez,Kaitlyn Perez,Dear Perez,kaitlyn10@adventure-works.com,154-555-0159,AW00012081,I,Oak Bay,8089 Mariposa Ct.,8089,Mariposa Ct.,,British Columbia,Canada,1,2615.4908,2003-11-09 00:00:00.000000 UTC,Active
12090,Savannah,Carter,Savannah Carter,Dear Carter,savannah32@adventure-works.com,838-555-0118,AW00012090,I,Royal Oak,2582 South Ranchford Ct.,2582,South Ranchford Ct.,,British Columbia,Canada,1,2597.8108,2003-11-09 00:00:00.000000 UTC,Active
23385,Isaac,Brooks,Isaac Brooks,Dear Brooks,isaac1@adventure-works.com,120-555-0113,AW00023385,I,Langford,1917 Buskirk Ave.,1917,Buskirk Ave.,,British Columbia,Canada,2,5336.4760000000006,2003-11-12 00:00:00.000000 UTC,Active
21595,Juan,Ward,Juan Ward,Dear Ward,juan22@adventure-works.com,112-555-0119,AW00021595,I,N. Vancouver,4749 Blackwood Drive,4749,Blackwood Drive,,British Columbia,Canada,2,2927.7619,2003-11-12 00:00:00.000000 UTC,Active
24431,Abigail,Morgan,Abigail Morgan,Dear Morgan,abigail8@adventure-works.com,862-555-0137,AW00024431,I,Royal Oak,1363 Mount Circle,1363,Mount Circle,,British Columbia,Canada,2,4789.7331,2003-11-13 00:00:00.000000 UTC,Active
12086,Emily,Clark,Emily Clark,Dear Clark,emily20@adventure-works.com,165-555-0198,AW00012086,I,Royal Oak,5368 Pierce Ct.,5368,Pierce Ct.,,British Columbia,Canada,1,2535.964,2003-11-15 00:00:00.000000 UTC,Active
23351,Lucas,Sanchez,Lucas Sanchez,Dear Sanchez,lucas88@adventure-works.com,107-555-0140,AW00023351,I,Port Hammond,6679 Stanbridge Ct.,6679,Stanbridge Ct.,,British Columbia,Canada,2,5335.0616,2003-11-17 00:00:00.000000 UTC,Active
25971,Savannah,Young,Savannah Young,Dear Young,savannah40@adventure-works.com,785-555-0136,AW00025971,I,Oak Bay,280 Plymouth Dr.,280,Plymouth Dr.,,British Columbia,Canada,2,3038.0014,2003-11-17 00:00:00.000000 UTC,Active
23378,Jackson,Phillips,Jackson Phillips,Dear Phillips,jackson36@adventure-works.com,167-555-0118,AW00023378,I,Haney,8015 San Onofre Court,8015,San Onofre Court,,British Columbia,Canada,2,5875.5392,2003-11-17 00:00:00.000000 UTC,Active
25288,Jordyn,Flores,Jordyn Flores,Dear Flores,jordyn12@adventure-works.com,554-555-0169,AW00025288,I,Langford,6228 Rivewview,6228,Rivewview,,British Columbia,Canada,2,3007.3156,2003-11-19 00:00:00.000000 UTC,Active
11835,Elijah,Russell,Elijah Russell,Dear Russell,elijah21@adventure-works.com,188-555-0159,AW00011835,I,Metchosin,1592 Working Drive,1592,Working Drive,,British Columbia,Canada,2,5273.3915,2003-11-19 00:00:00.000000 UTC,Active
21589,Vanessa,Coleman,Vanessa Coleman,Dear Coleman,vanessa6@adventure-works.com,663-555-0181,AW00021589,I,Port Hammond,3525 E. Watson Court,3525,E. Watson Court,,British Columbia,Canada,2,2860.9426,2003-11-20 00:00:00.000000 UTC,Active
21400,Adam,Campbell,Adam Campbell,Dear Campbell,adam37@adventure-works.com,418-555-0138,AW00021400,I,Haney,827 Nulty Dr.,827,Nulty Dr.,,British Columbia,Canada,2,2971.2231,2003-11-20 00:00:00.000000 UTC,Active
23396,Kaitlyn,Long,Kaitlyn Long,Dear Long,kaitlyn76@adventure-works.com,357-555-0176,AW00023396,I,Shawnee,2237 Boca Raton Court,2237,Boca Raton Court,,British Columbia,Canada,2,5405.2291000000005,2003-11-21 00:00:00.000000 UTC,Active
25408,Karen,Zhao,Karen Zhao,Dear Zhao,karen20@adventure-works.com,270-555-0191,AW00025408,I,Cliffside,8964 Yosemite Ct,8964,Yosemite Ct,,British Columbia,Canada,2,3022.7635,2003-11-29 00:00:00.000000 UTC,Active
22121,Jackson,Henderson,Jackson Henderson,Dear Henderson,jackson7@adventure-works.com,547-555-0182,AW00022121,I,Haney,6715 North Park Court,6715,North Park Court,,British Columbia,Canada,2,6627.0497,2003-11-29 00:00:00.000000 UTC,Active
25287,Paige,Sanders,Paige Sanders,Dear Sanders,paige26@adventure-works.com,569-555-0191,AW00025287,I,Langley,243 Pine Dr,243,Pine Dr,,British Columbia,Canada,2,3296.5908,2003-11-29 00:00:00.000000 UTC,Active
22114,Lucas,Martin,Lucas Martin,Dear Martin,lucas28@adventure-works.com,434-555-0192,AW00022114,I,Cliffside,191 Trail Way,191,Trail Way,,British Columbia,Canada,2,4622.4692000000005,2003-12-01 00:00:00.000000 UTC,Active
25989,Jeremy,Price,Jeremy Price,Dear Price,jeremy21@adventure-works.com,836-555-0162,AW00025989,I,Sooke,2225 Stillwater Court,2225,Stillwater Court,,British Columbia,Canada,2,3032.6974,2003-12-02 00:00:00.000000 UTC,Active
12113,Nathan,Hughes,Nathan Hughes,Dear Hughes,nathan7@adventure-works.com,334-555-0173,AW00012113,I,Langford,1771 Coastal Blvd.,1771,Coastal Blvd.,,British Columbia,Canada,2,5234.9707,2003-12-03 00:00:00.000000 UTC,Active
24496,Katelyn,Mitchell,Katelyn Mitchell,Dear Mitchell,katelyn34@adventure-works.com,570-555-0129,AW00024496,I,Sooke,6634 Augustine Dr.,6634,Augustine Dr.,,British Columbia,Canada,2,4806.3191000000006,2003-12-06 00:00:00.000000 UTC,Active
25991,Arianna,Hayes,Arianna Hayes,Dear Hayes,arianna20@adventure-works.com,582-555-0144,AW00025991,I,Langley,5150 82nd Ave,5150,82nd Ave,,British Columbia,Canada,2,3144.3024,2003-12-09 00:00:00.000000 UTC,Active
23486,Benjamin,Coleman,Benjamin Coleman,Dear Coleman,benjamin7@adventure-works.com,524-555-0163,AW00023486,I,Sooke,539 Rolling Green Circle,539,Rolling Green Circle,,British Columbia,Canada,2,5904.2692000000006,2003-12-11 00:00:00.000000 UTC,Active
23725,Dennis,Ware,Dennis Ware,Dear Ware,dennis0@adventure-works.com,401-555-0138,AW00023725,I,Westminster,9905 North 29th St.,9905,North 29th St.,,British Columbia,Canada,2,5335.0616,2003-12-12 00:00:00.000000 UTC,Active
12449,Dylan,Brown,Dylan Brown,Dear Brown,dylan39@adventure-works.com,480-555-0194,AW00012449,I,Port Hammond,549 Via Appia,549,Via Appia,,British Columbia,Canada,1,2598.9158,2003-12-12 00:00:00.000000 UTC,Active
12122,Destiny,Coleman,Destiny Coleman,Dear Coleman,destiny54@adventure-works.com,446-555-0114,AW00012122,I,Vancouver,8713 Live Oak Avenue,8713,Live Oak Avenue,,British Columbia,Canada,2,5319.5143,2003-12-13 00:00:00.000000 UTC,Active
25992,Stephanie,Flores,Stephanie Flores,Dear Flores,stephanie39@adventure-works.com,583-555-0119,AW00025992,I,Victoria,1807 Trafalgar Circle,1807,Trafalgar Circle,,British Columbia,Canada,2,3007.3156,2003-12-14 00:00:00.000000 UTC,Active
23583,Brianna,Martin,Brianna Martin,Dear Martin,brianna13@adventure-works.com,810-555-0119,AW00023583,I,N. Vancouver,9594 Zion Avenue,9594,Zion Avenue,,British Columbia,Canada,2,5336.4760000000006,2003-12-15 00:00:00.000000 UTC,Active
22233,Xavier,Martin,Xavier Martin,Dear Martin,xavier12@adventure-works.com,398-555-0127,AW00022233,I,Haney,4539 Leeds Ct,4539,Leeds Ct,,British Columbia,Canada,2,6627.0497,2003-12-16 00:00:00.000000 UTC,Active
25981,Isaiah,Howard,Isaiah Howard,Dear Howard,isaiah10@adventure-works.com,916-555-0156,AW00025981,I,Sooke,2904 El Pueblo Pl.,2904,El Pueblo Pl.,,British Columbia,Canada,2,3335.2547,2003-12-16 00:00:00.000000 UTC,Active
22050,Richard,Bailey,Richard Bailey,Dear Bailey,richard97@adventure-works.com,818-555-0146,AW00022050,I,Burnaby,5826 Limewood Pl.,5826,Limewood Pl.,,British Columbia,Canada,2,4597.3857,2003-12-18 00:00:00.000000 UTC,Active
22232,Paige,Brooks,Paige Brooks,Dear Brooks,paige24@adventure-works.com,876-555-0142,AW00022232,I,Haney,6052 Sandy Way,6052,Sandy Way,,British Columbia,Canada,2,6613.7676,2003-12-18 00:00:00.000000 UTC,Active
23397,Isabelle,Bryant,Isabelle Bryant,Dear Bryant,isabelle16@adventure-works.com,259-555-0150,AW00023397,I,Newton,5025 Blue Jay Drive,5025,Blue Jay Drive,,British Columbia,Canada,2,5335.0616,2003-12-18 00:00:00.000000 UTC,Active
21614,William,Thomas,William Thomas,Dear Thomas,william26@adventure-works.com,181-555-0115,AW00021614,I,Cliffside,1277 Live Oak Avenue,1277,Live Oak Avenue,,British Columbia,Canada,2,2860.9426,2003-12-20 00:00:00.000000 UTC,Active
23511,Joshua,Rodriguez,Joshua Rodriguez,Dear Rodriguez,joshua22@adventure-works.com,339-555-0185,AW00023511,I,Shawnee,5671 Bel Air Dr.,5671,Bel Air Dr.,,British Columbia,Canada,2,5351.6366,2003-12-20 00:00:00.000000 UTC,Active
12781,Emma,James,Emma James,Dear James,emma44@adventure-works.com,145-555-0111,AW00012781,I,Langley,8626 Lillian Dr,8626,Lillian Dr,,British Columbia,Canada,1,2574.6279,2003-12-20 00:00:00.000000 UTC,Active
12089,Nathaniel,Richardson,Nathaniel Richardson,Dear Richardson,nathaniel10@adventure-works.com,170-555-0160,AW00012089,I,N. Vancouver,1881 Pinehurst Court,1881,Pinehurst Court,,British Columbia,Canada,2,5204.5832,2003-12-21 00:00:00.000000 UTC,Active
21613,Caleb,Powell,Caleb Powell,Dear Powell,caleb5@adventure-works.com,711-555-0115,AW00021613,I,Newton,5528 Ringing Court,5528,Ringing Court,,British Columbia,Canada,2,2884.689,2003-12-21 00:00:00.000000 UTC,Active
12451,Anna,Simmons,Anna Simmons,Dear Simmons,anna40@adventure-works.com,242-555-0193,AW00012451,I,Vancouver,6793 Longview Road,6793,Longview Road,,British Columbia,Canada,1,2616.5516,2003-12-22 00:00:00.000000 UTC,Active
22996,Jordan,Henderson,Jordan Henderson,Dear Henderson,jordan1@adventure-works.com,161-555-0113,AW00022996,I,Langford,1637 San Carlos Ave,1637,San Carlos Ave,,British Columbia,Canada,2,6669.3381000000008,2003-12-26 00:00:00.000000 UTC,Active
12060,Andrew,Wedge,Andrew Wedge,Dear Wedge,andrew22@adventure-works.com,842-555-0146,AW00012060,I,Sooke,9263 Mt. Mckinley Ct.,9263,Mt. Mckinley Ct.,,British Columbia,Canada,2,5316.7517,2003-12-27 00:00:00.000000 UTC,Active
21620,Mariah,Brooks,Mariah Brooks,Dear Brooks,mariah1@adventure-works.com,127-555-0131,AW00021620,I,Haney,8535 Meadowbrook Court,8535,Meadowbrook Court,,British Columbia,Canada,2,2895.5416,2003-12-29 00:00:00.000000 UTC,Active
12114,Charles,Richardson,Charles Richardson,Dear Richardson,charles58@adventure-works.com,385-555-0136,AW00012114,I,Metchosin,5466 Kaitlin Pl.,5466,Kaitlin Pl.,,British Columbia,Canada,2,5214.5171,2003-12-30 00:00:00.000000 UTC,Active
22182,Madeline,Parker,Madeline Parker,Dear Parker,madeline7@adventure-works.com,184-555-0138,AW00022182,I,Sooke,9379 Terrapin Court,9379,Terrapin Court,,British Columbia,Canada,2,6636.9837000000007,2003-12-30 00:00:00.000000 UTC,Active
22995,Isabella,Bryant,Isabella Bryant,Dear Bryant,isabella28@adventure-works.com,799-555-0198,AW00022995,I,Langley,4309 Cambridge Drive,4309,Cambridge Drive,,British Columbia,Canada,2,6696.8526,2003-12-31 00:00:00.000000 UTC,Active
12986,Rachel,Garcia,Rachel Garcia,Dear Garcia,rachel19@adventure-works.com,429-555-0199,AW00012986,I,Port Hammond,8403 Esperanza,8403,Esperanza,,British Columbia,Canada,2,5329.4261,2004-01-03 00:00:00.000000 UTC,Active
12782,Elizabeth,Long,Elizabeth Long,Dear Long,elizabeth39@adventure-works.com,921-555-0171,AW00012782,I,Sooke,110 E. Watson Court,110,E. Watson Court,,British Columbia,Canada,1,2653.0498,2004-01-03 00:00:00.000000 UTC,Active
13284,Victoria,Butler,Victoria Butler,Dear Butler,victoria61@adventure-works.com,108-555-0122,AW00013284,I,Langford,5423 Morengo Ct.,5423,Morengo Ct.,,British Columbia,Canada,2,5268.1206999999995,2004-01-03 00:00:00.000000 UTC,Active
13366,Austin,Davis,Austin Davis,Dear Davis,austin44@adventure-works.com,923-555-0190,AW00013366,I,Westminster,8547 Lyon Circle,8547,Lyon Circle,,British Columbia,Canada,2,5247.6892,2004-01-04 00:00:00.000000 UTC,Active
19987,Taylor,Moore,Taylor Moore,Dear Moore,taylor55@adventure-works.com,161-555-0178,AW00019987,I,Newton,9117 Jacqueline Way,9117,Jacqueline Way,,British Columbia,Canada,2,5043.7173,2004-01-04 00:00:00.000000 UTC,Active
26200,Ian,Baker,Ian Baker,Dear Baker,ian31@adventure-works.com,166-555-0176,AW00026200,I,Metchosin,8950 Olivera Rd,8950,Olivera Rd,,British Columbia,Canada,2,3045.9795,2004-01-05 00:00:00.000000 UTC,Active
23829,Anthony,Rodriguez,Anthony Rodriguez,Dear Rodriguez,anthony6@adventure-works.com,439-555-0185,AW00023829,I,Langford,8539 Glazier Dr.,8539,Glazier Dr.,,British Columbia,Canada,2,5306.3316,2004-01-05 00:00:00.000000 UTC,Active
23730,Morgan,Rodriguez,Morgan Rodriguez,Dear Rodriguez,morgan41@adventure-works.com,162-555-0126,AW00023730,I,Haney,5495 Glendale Circle,5495,Glendale Circle,,British Columbia,Canada,2,5335.0616,2004-01-05 00:00:00.000000 UTC,Active
23731,Jose,Thompson,Jose Thompson,Dear Thompson,jose77@adventure-works.com,989-555-0126,AW00023731,I,N. Vancouver,935 Rheem Drive,935,Rheem Drive,,British Columbia,Canada,2,5335.0616,2004-01-05 00:00:00.000000 UTC,Active
21621,Jordan,Parker,Jordan Parker,Dear Parker,jordan53@adventure-works.com,783-555-0193,AW00021621,I,N. Vancouver,2454 Clayton Way,2454,Clayton Way,,British Columbia,Canada,2,2891.6284,2004-01-07 00:00:00.000000 UTC,Active
